id,translate,translate_description,source
6001,contract,legal agreement between parties,AI
6002,conceptualization,draft or basic idea underlying a project,AI
6003,concert hall,building where concerts are held,AI
6004,coordination,alignment of activities and ordering,AI
6005,headgear,clothing worn on the head,AI
6006,correspondent,journalist working as a foreign correspondent,AI
6007,corridor,connecting passage inside a building,AI
6008,cosmetics,measures to preserve or enhance beauty,AI
6009,food,food one eats,AI
6010,sickness absence,amount of absence in a company due to sick leave,AI
6011,tie,narrow fabric band worn around the neck,AI
6012,creation,something newly created or invented,AI
6013,district league,league level limited to a sports district,AI
6014,cruise,trip on a cruise ship,AI
6015,jug,cylindrical vessel for drinks,AI
6016,cultural capital,title awarded to highlight cultural heritage,AI
6017,culture minister,head of a culture ministry,AI
6018,art association,association to promote art,AI
6019,price increase,increase of a rate,AI
6020,spa town,town with spa operations,AI
6021,varnish,liquid coating used to protect objects or improve their appearance,AI
6022,shoplifting,theft of goods usually of low value in retail,AI
6023,runway,strip or runway where aircraft land,AI
6024,state bank,public law bank operating at regional level,AI
6025,state church,public law church organization at state level,AI
6026,state list,list of candidates for a state election,AI
6027,state museum,museum of a federal state,AI
6028,state party congress,assembly of delegates of a party at state level,AI
6029,national defense,military defense of a state against external aggression,AI
6030,ministry of agriculture,ministry for agriculture,AI
6031,rag,small piece of leather or cloth,AI
6032,catwalk,elevated narrow walkway you can walk on,AI
6033,avalanche,large masses of ice or snow sliding or falling from mountains into the valley,AI
6034,layout,overall text and image design when realizing a conceptual picture,AI
6035,learning,learning in English,AI
6036,life phase,period of time in life,AI
6037,lederer,family name also leather worker,AI
6038,legitimation,proof of authorization often in the form of an ID,AI
6039,backrest,part of a seat to lean on or support oneself,AI
6040,competitive sport,intensive practice of a sport to compete and achieve success,AI
6041,guideline,principled target specification,AI
6042,reading,interpretation sense and variant of a text passage,AI
6043,Lima,capital of Peru,AI
6044,literature house,institution for promotion and mediation of literature,AI
6045,site inspection,judicial inspection at the scene,AI
6046,local hero,local celebrity celebrated hero in a place often in sport,AI
6047,lux,unit of illuminance,AI
6048,abuse of power,misuse of power to harm or harass others or gain advantages,AI
6049,memorial,monument that commemorates a tragic event and serves as warning,AI
6050,maypole,tall decorated tree or pole set up in spring often on May 1,AI
6051,flaw,defect or imperfection that impairs a thing or person,AI
6052,female client,female client of a lawyer or tax adviser,AI
6053,manner,way of execution,AI
6054,manufactory,historical production site for handcrafted serial goods,AI
6055,market observer,person who observes the market,AI
6056,Massachusetts,US state,AI
6057,match point,rally that can end a game,AI
6058,mathematician,person who works mainly in mathematics,AI
6059,school leaving exam,final exam granting university entrance qualification,AI
6060,fall of the Berlin Wall,fall of the Berlin Wall in 1989 and border opening,AI
6061,maxim,principle or motto guiding behavior,AI
6062,opinion formation,forming ones own opinion or guiding others,AI
6063,opinion research institute,institution that surveys public opinion empirically,AI
6064,female master,female master who can train apprentices,AI
6065,melancholy,state of gloom depression great sadness,AI
6066,memorandum,position paper especially on political topics,AI
6067,common sense,judgment of things by humans,AI
6068,methane,colorless odorless flammable gas compound with one carbon and four hydrogen atoms,AI
6069,metropolitan region,densely populated large urban region of international importance,AI
6070,butcher shop,place where meat and sausage are produced and sold,AI
6071,Mexican,citizen of Mexico,AI
6072,facial expression,facial features as expression of mood,AI
6073,rental car,vehicle rented for self driving,AI
6074,milliliter,volume unit one thousandth of a liter,AI
6075,Mediterranean region,area around the Mediterranean,AI
6076,middle class,social stratum between at least two outer classes,AI
6077,mobile communications,wireless communication system mostly for mobile phones,AI
6078,monarch,head of state of a monarchy,AI
6079,morning edition,morning issue of a newspaper,AI
6080,mosaic,picture made of small colorful stones,AI
6081,Muslim,follower of Islam,AI
6082,mother tongue,language learned in childhood and primarily used for thinking,AI
6083,Mothers Day,day honoring mothers and motherhood,AI
6084,nightlife,nighttime entertainment in public,AI
6085,Namibia,state in southern Africa,AI
6086,scars,nominative plural of Narbe,AI
6087,national holiday,legal holiday celebrating the state or nation,AI
6088,nationalism,political ideology that centers the glory welfare power and often superiority of ones nation,AI
6089,denominator,number under the fraction line in a common fraction,AI
6090,mention,mention or listing,AI
6091,Nepal,state in the Himalayas,AI
6092,nervous system,totality of nerve and glial cells in an organism,AI
6093,net profit,profit after deducting costs,AI
6094,New Year concert,concert held for the turn of the year,AI
6095,new debt,indebtedness from taking new loans,AI
6096,niece,daughter of a sister or brother also of a sibling in law,AI
6097,normal case,usual prevailing situation or assessment,AI
6098,emergency shelter,temporary housing,AI
6099,Odenwald,low mountain range in Germany,AI
6100,disclosure,publication or disclosure,AI
6101,slap,slap with the flat hand to the face,AI
6102,Oregon,US state,AI
6103,organism,individual living being seen as a system of all its organs,AI
6104,local association,association acting at municipal level as part of a larger structure,AI
6105,palm,plant from the palm family Arecaceae,AI
6106,party friend,person in the same party as another,AI
6107,twin town,city that has a partnership with another city,AI
6108,female pedestrian,female person who passes by,AI
6109,Passion,the suffering and death of Jesus Christ,AI
6110,pathos,powerful emotional involvement or behavior,AI
6111,pensioner,person no longer employed receiving retirement benefits,AI
6112,staff reduction,elimination of jobs in a company,AI
6113,parish,lowest church authority led by a pastor,AI
6114,pharmaceutical industry,industry branch that produces medicines,AI
6115,picnic,meal of brought food eaten outdoors in a group,AI
6116,Low German,Low German dialect,AI
6117,insurance policy,document of an insurance contract,AI
6118,Polish woman,female citizen of Poland,AI
6119,porcelain,fine fragile ceramic made of kaolin feldspar and quartz,AI
6120,pragmatism,philosophical school judging truth by practical usefulness,AI
6121,pillory,wooden board with holes for head and hands as public punishment device,AI
6122,Prater,park in Vienna,AI
6123,private broadcaster,privately owned broadcasting station,AI
6124,protagonist,main character before deuteragonist and tritagonist,AI
6125,protectionism,shielding a countrys economy from foreign competition,AI
6126,commission,fee for brokering a trade,AI
6127,trial start,beginning of a court trial,AI
6128,procession,ordered ceremonial procession often religious,AI
6129,publicist,journalist or writer influencing public opinion on current topics,AI
6130,coup,attempt by a small group to violently overthrow the government,AI
6131,qualification round,round for qualification,AI
6132,qualification,training or qualification,AI
6133,cycling,sport practiced with bicycles,AI
6134,right wing populist,person who is an adherent or representative of right wing populism,AI
6135,female editor,female person who writes edits and improves manuscripts,AI
6136,deadline,time after which no changes before printing,AI
6137,referee,person who ensures athletes follow rules in sports,AI
6138,female speaker,female person who gives a talk or report,AI
6139,reflex,uncontrolled movement,AI
6140,government participation,participation in a governing coalition,AI
6141,government district,area of a capital where government is located,AI
6142,regional train,train operating in a regional network,AI
6143,regional association,association at regional level,AI
6144,regional train,train used for regional transport,AI
6145,tour operator,company or person who organizes trips,AI
6146,recruitment,action of conscripting or recruiting people for service,AI
6147,relic,remnant from a past time,AI
6148,racing driver,athlete who races with a vehicle,AI
6149,pension fund,insurance fund for pensions,AI
6150,revenge,retaliation for a military defeat,AI
6151,reception,hotel reception area desk and staff,AI
6152,Rhenish Hesse,region in Rhineland Palatinate,AI
6153,correctness,state of being correct,AI
6154,giant slalom,discipline with gates set far apart for smooth skiing,AI
6155,rock band,group of musicians playing rock music,AI
6156,wheelchair user,person who moves using a wheelchair,AI
6157,Rose Monday,Monday before Ash Wednesday peak of street carnival,AI
6158,red pen,red writing pen,AI
6159,pack,temporary group of certain wild mammals smaller than a herd,AI
6160,Rudolph,family name and given name,AI
6161,ruin,partly collapsed decayed or destroyed building,AI
6162,overview,overview or news magazine,AI
6163,Russian woman,female citizen of Russia or member of the Russian people,AI
6164,season goal,goal scored within a season,AI
6165,season goal,goal for the season,AI
6166,female Salzburg resident,female resident of Salzburg state,AI
6167,sandy beach,beach made of sand,AI
6168,Sardinia,island of Italy,AI
6169,satellite,man made body that orbits a celestial body,AI
6170,chess move,legal move of a chess piece during a game,AI
6171,foam,gas bubbles enclosed by liquid walls,AI
6172,rail network,totality of rail routes in a region,AI
6173,hose,flexible line for conveying solids liquids and gases,AI
6174,conclusion,result derived from given premises,AI
